x,y
351,61253
344,56510
932,167956
711,126269
703,120612
473,79378
54,7169
804,140678
475,82085
1426,266010
551,88762
319,48472
296,45875
1172,200886
522,85774
184,30593
1001,179919
8,564
406,52973
123,13778
521,67605
409,52960
666,90520
143,17042
1341,189358
1103,155463
326,41162
1045,147339
1201,176682
1087,217939
443,68137
1188,195029
1280,220469
724,106958
840,158189
1269,221802
1466,226390
715,110629
664,99019
344,66302
295,45090
1497,230814
248,36686
826,125885
850,197378
491,68672
327,43960
620,100507
1235,238674
378,63461
489,112290
1257,243375
756,130640
352,53958
1144,198270
741,128137
117,16595
904,158269
836,145359
385,62953
830,141242
292,45936
843,146907
1294,247554
375,106688
45,5290
407,62244
1203,186281
987,212442
23,3718
843,165473
1291,232377
1051,191785
541,90693
1052,295520
437,70728
1293,235013
235,135793
1487,312796
463,92796
1141,219718
440,73425
1309,317220
1209,332235
1360,240447
779,150185
955,158073
911,162199
1102,212849
508,92012
572,109359
343,53649
1161,208037
838,224095
1091,261108
360,57740
605,87635
993,164498
1113,163009
882,123850
637,90977
1450,215203
1249,187110
114,23230
651,89583
637,90750
521,71156
1,94
1029,175242
228,27727
1364,209241
765,118900
1007,191845
1043,159183
886,128410
169,20995
1011,137538
370,47905
1326,186964
1134,160154
1031,148155
106,12370
488,68712
899,136409
347,56037
777,111936
1393,204622
877,123014
817,116687
857,118200
957,143269
523,68275
242,32149
1215,183978
1416,247980
201,30487
337,54065
1381,254978
395,51612
1100,163929
431,60783
861,152021
513,87071
1407,218529
482,69719
390,55956
519,87882
873,137500
733,143457
987,161042
1113,190521
423,103810
27,3051
1234,186604
1121,199128
1079,153460
218,45060
671,94184
726,113467
686,94973
1412,215641
856,162654
753,147556
1399,235233
118,16964
586,100599
145,20732
792,162844
401,78138
1401,378806
308,125643
266,38557
609,106783
330,55037
743,129753
809,130247
1498,259513
353,50492
701,113795
215,30554
444,72600
1100,170709
1310,199414
861,144879
364,52113
701,115077
99,13511
852,148409
1145,179391
597,96274
1311,213818
1154,206069
448,71436
121,17263
1482,276323
395,64497
1499,263640
613,90324
540,85160
1253,218824
404,58044
447,69751
333,54155
1104,198111
529,75067
940,148648
921,159237
983,150495
517,87944
419,69335
1421,252561
578,86868
701,107909
617,92406
247,38893
1387,217202
1080,171724
183,24064
632,99477
743,232999
483,84642
897,133675
924,151267
245,36315
1143,210088
981,173693
1227,222225
106,15000
1454,265822
787,134354
241,34503
365,47314
103,11295
482,62608
482,62600
601,81586
1028,219856
1069,166557
999,158440
228,27937
725,112947
783,136719
1400,213721
536,78476
1374,210432
1019,160994
1360,216375
1339,199418
1283,220848
1462,260337
1222,184898
72,7659
791,125892
259,38584
893,135004
1166,175913
1399,257216
1054,242009
1013,197889
771,116993
1115,187897
176,23778
1377,232293
256,42265
982,144530
89,9900
1468,222517
1022,145175
550,74710
1406,207344
1256,189515
609,79963
917,137433
161,29222
191,22993
1233,187243
1419,280612
1396,212188
176,22822
734,115477
469,137552
514,73078
1355,236765
1000,187129
376,62727
246,38101
348,51210
851,136424
292,51101
114,23460
32,3874
1357,207279
675,92299
1328,191863
1415,211999
1500,223302
286,47438
1369,207812
923,136183
203,26646
23,2012
1104,169872
31,2612
441,57910
208,28270
884,138006
263,39211
1257,219597
1366,237113
866,132140
174,27217
655,108474
1077,211874
1426,287076
111,25109
989,195996
563,80200
213,42001
334,49633
918,155430
1023,237329
356,61324
1106,184417
1188,209421
1170,250442
863,158365
1108,219860
419,73160
1135,196633
559,94866
177,26960
329,51454
1498,269900
351,54079
1482,236749
564,85427
457,73180
1375,207346
1437,211750
871,135926
1269,250271
1276,212712
881,167167
594,173059
197,42053
1186,284845
416,114439
804,146036
1303,228190
244,74578
29,2445
190,24693
944,145677
1048,216097
767,133088
327,53451
340,49100
667,121873
984,174835
377,56027
1440,243400
809,141406
198,29484
259,44020
553,104813
1246,215919
981,172922
91,11193
1493,237276
379,48113
613,89715
588,85413
497,67458
116,15340
198,27204
213,28971
265,36352
561,80597
1368,205900
986,140836
157,18672
267,34815
694,102041
574,77959
1111,164584
308,49041
1018,146794
185,32564
381,49143
977,146500
220,37459
485,65840
132,15106
874,151203
1347,225787
841,127108
1242,244988
1221,197720
89,10485
1287,198902
16,1399
1469,230992
12,894
1197,187959
1025,162663
104,15078
355,55784
563,87675
1150,180934
408,68446
1239,194171
1290,227465
47,4725
726,127406
444,77501
1437,236660
737,127538
1314,215345
1463,234895
407,116892
383,71634
861,144287
1451,308035
1070,222080
784,152677
1059,215689
1354,206814
561,97900
559,120136
527,84185
1148,172708
1477,225005
911,171530
480,89065
717,127016
570,128088
548,102625
511,110254
1233,204074
67,7154
423,81358
40,4885
271,53735
930,147528
444,59661
25,3242
134,20031
315,80875
1122,209686
676,123364
160,24122
1406,251946
148,30427
1115,200092
1467,310118
908,178574
272,45205
310,44756
290,42945
655,128229
375,66368
436,89802
403,81460
1486,236605
139,28919
798,152490
99,13700
1488,263462
789,140844
1114,228648
816,146438
1380,240898
604,107854
463,97852
397,119883
323,65935
347,56706
983,184568
812,140051
234,34561
1348,266685
151,19292
1097,171966
308,71826
1189,202073
930,179836
1412,239076
733,161924
1321,237868
261,37842
68,9149
1032,159641
360,91855
1178,230835
492,82217
968,170555
1073,190830
729,158455
1023,209384
571,80825
460,71698
141,21418
1287,199761
966,183170
83,9525
395,56478
602,88621
370,95588
261,50149
912,179465
1081,226729
1302,245905
730,128671
208,32073
233,37744
1067,197800
1094,197970
398,59651
1208,196968
1069,157284
1436,215196
651,87138
1152,170392
94,20874
153,17795
389,52815
827,122034
1055,150968
840,120601
1023,146237
53,5330
1162,180061
453,60523
938,146672
280,45399
290,35941
1498,223069
816,113585
640,91535
551,83195
156,21495
452,64100
537,75765
1169,177542
1216,202006
1389,252188
1369,251268
958,169799
957,154939
610,92924
1181,174889
1077,155733
1139,163004
348,55747
545,74890
1305,187763
1266,187756
561,74760
993,158675
1456,239640
945,136789
1142,170700
1421,213698
1133,171413
150,27797
1094,274362
147,16774
728,111912
732,117965
80,8361
942,149977
846,164320
959,140371
125,16434
1072,160682
475,61853
234,31660
503,69980
1210,177559
1080,153839
398,61271
106,12060
253,33725
789,116080
1100,168279
895,134320
264,40332
911,133098
725,112963
702,108147
332,51971
1233,187909
126,24995
1360,207471
360,56183
48,4586
379,51913
706,149149
327,57715
1070,189919
38,14237
258,31396
1018,221201
1380,249328
427,67148
1087,172368
340,49883
1007,190051
449,57513
244,32188
882,128678
1399,223817
488,65204
482,68952
32,3683
353,49750
1080,159209
1119,160754
790,112958
742,113308
848,117967
437,67048
385,53712
542,77029
1364,200065
845,117698
924,162832
670,142532
581,112062
466,67892
16,1727
82,11249
787,139657
1321,227348
1112,183874
788,135982
710,135277
274,44769
705,120143
349,54950
1051,165605
1414,221870
1013,160529
609,93048
674,110693
172,24558
1334,237951
1469,290958
883,152847
1236,208583
218,33798
1429,316242
808,177822
1341,258445
726,122156
1137,204125
1295,233737
1082,192917
935,153056
429,55848
178,21942
1007,153528
432,56146
608,86657
1086,169775
1320,197796
126,24605
116,13206
1340,202628
876,122763
13,1335
614,87507
110,15523
856,132324
173,31488
361,46559
68,8298
1103,185674
959,164967
992,165478
875,133773
1283,203148
1426,256474
1171,223149
303,47990
526,89263
1308,232543
510,81556
887,170686
437,60689
297,49376
1225,194859
153,19252
1231,202687
250,78320
908,140124
1487,225161
1454,235620
1488,223117
1311,195456
861,123243
628,90186
40,4848
864,128192
1369,276312
812,124424
956,139771
1249,224577
467,62368
1213,201742
1123,231208
971,168037
389,63461
234,36824
626,109573
369,60762
527,88045
506,90819
41,5936
265,43123
728,129589
657,114067
524,90241
8,839
1393,253253
1363,207501
1235,185162
1483,221751
184,32240
205,28184
930,171532
596,96868
1334,227094
310,44301
379,54603
1494,256877
22,1983
921,174954
515,87690
854,158441
680,116372
1448,231953
854,138569
974,156172
479,77399
1229,195709
1363,217184
213,34773
22,2520
1229,188258
124,15616
709,112080
794,137603
1149,185549
751,124076
1244,195374
1105,174698
1019,160349
339,49463
331,53519
525,96025
664,106977
565,94374
1148,179149
259,37381
614,97738
725,119516
641,102775
924,149422
1370,212030
1133,180875
533,86656
1147,180758
304,50080
436,68201
385,56618
268,39256
533,87208
730,133041
389,65811
1059,181423
109,12440
1380,230264
1112,204558
619,106050
1041,180179
20,1805
550,91817
668,110715
1367,219424
1172,193161
1091,171406
1175,176481
1012,151280
850,148420
60,6121
401,56355
1403,247961
149,17346
1334,222382
889,157061
1350,230061
632,102845
159,33776
1060,167927
1130,186086
1441,251993
1018,175994
