n,t
100,30
200,57
300,35
400,49
500,63
600,78
700,105
800,128
900,134
1000,140
1100,153
1200,166
1300,177
1400,242
1500,226
1600,266
1700,249
1800,256
1900,288
2000,294
2100,307
2200,318
2300,349
2400,356
2500,376
2600,426
2700,408
2800,434
2900,448
3000,501
3100,477
3200,507
3300,511
3400,523
3500,553
3600,568
3700,576
3800,599
3900,618
4000,632
4100,652
4200,665
4300,686
4400,701
4500,732
4600,746
4700,851
4800,783
4900,803
5000,802
5100,830
5200,850
5300,874
5400,878
5500,903
5600,937
5700,946
5800,1029
5900,992
6000,1010
6100,1012
6200,1027
6300,1061
6400,1076
6500,1099
6600,1096
6700,1123
6800,1136
6900,1199
7000,1282
7100,1337
7200,1217
7300,1266
7400,1274
7500,1378
7600,1284
7700,1298
7800,1339
7900,1353
8000,1428
8100,1419
8200,1455
8300,1415
8400,1491
8500,1463
8600,1483
8700,1525
8800,1548
8900,1574
9000,1548
9100,1570
9200,1731
9300,1594
9400,1686
9500,1639
9600,1665
9700,1729
9800,1773
9900,1793
10000,1816
10100,1799
10200,1823
10300,1838
10400,1807
10500,1875
10600,1936
10700,2017
10800,1881
10900,1945
11000,1938
11100,2073
11200,2026
11300,1994
11400,2018
11500,2026
11600,2068
11700,2183
11800,2189
11900,2138
12000,2144
12100,2126
12200,2147
12300,2204
12400,2239
12500,2242
12600,2280
12700,2268
12800,2258
12900,2301
13000,2337
13100,2369
13200,2338
13300,2379
13400,2426
13500,2417
13600,2498
13700,2506
13800,2482
13900,2529
14000,2537
14100,2620
14200,2585
14300,2559
14400,2670
14500,2656
14600,2665
14700,2703
14800,2700
14900,2722
15000,2719
