r,n,t
2,100,104
3,100,47
4,100,37
5,100,31
6,100,32
7,100,27
8,100,26
9,100,26
10,100,27
11,100,22
12,100,22
13,100,22
14,100,22
15,100,22
16,100,22
2,200,151
3,200,101
4,200,115
5,200,66
6,200,91
7,200,79
8,200,82
9,200,84
10,200,84
11,200,67
12,200,58
13,200,25
14,200,25
15,200,25
16,200,25
2,300,135
3,300,56
4,300,41
5,300,35
6,300,38
7,300,42
8,300,29
9,300,29
10,300,29
11,300,23
12,300,23
13,300,24
14,300,23
15,300,23
16,300,23
2,400,109
3,400,70
4,400,54
5,400,46
6,400,46
7,400,39
8,400,39
9,400,39
10,400,39
11,400,31
12,400,31
13,400,31
14,400,31
15,400,31
16,400,31
2,500,140
3,500,87
4,500,68
5,500,58
6,500,58
7,500,48
8,500,48
9,500,48
10,500,48
11,500,39
12,500,39
13,500,39
14,500,39
15,500,39
16,500,39
2,600,179
3,600,124
4,600,80
5,600,101
6,600,85
7,600,66
8,600,89
9,600,58
10,600,58
11,600,46
12,600,46
13,600,46
14,600,46
15,600,56
16,600,69
2,700,193
3,700,120
4,700,94
5,700,80
6,700,80
7,700,67
8,700,67
9,700,67
10,700,67
11,700,53
12,700,67
13,700,83
14,700,82
15,700,84
16,700,84
2,800,336
3,800,215
4,800,168
5,800,140
6,800,145
7,800,118
8,800,111
9,800,77
10,800,76
11,800,61
12,800,61
13,800,61
14,800,61
15,800,61
16,800,61
2,900,247
3,900,156
4,900,121
5,900,119
6,900,141
7,900,108
8,900,98
9,900,86
10,900,86
11,900,69
12,900,69
13,900,69
14,900,69
15,900,69
16,900,69
2,1000,275
3,1000,184
4,1000,164
5,1000,134
6,1000,123
7,1000,96
8,1000,96
9,1000,96
10,1000,96
11,1000,77
12,1000,77
13,1000,77
14,1000,77
15,1000,77
16,1000,145
2,1100,294
3,1100,189
4,1100,147
5,1100,126
6,1100,126
7,1100,105
8,1100,105
9,1100,105
10,1100,105
11,1100,84
12,1100,84
13,1100,84
14,1100,84
15,1100,84
16,1100,84
2,1200,326
3,1200,206
4,1200,160
5,1200,137
6,1200,137
7,1200,129
8,1200,114
9,1200,114
10,1200,115
11,1200,91
12,1200,92
13,1200,91
14,1200,92
15,1200,92
16,1200,137
2,1300,347
3,1300,223
4,1300,173
5,1300,149
6,1300,148
7,1300,124
8,1300,124
9,1300,124
10,1300,124
11,1300,99
12,1300,100
13,1300,143
14,1300,151
15,1300,130
16,1300,153
2,1400,590
3,1400,367
4,1400,289
5,1400,223
6,1400,259
7,1400,151
8,1400,153
9,1400,135
10,1400,142
11,1400,113
12,1400,119
13,1400,116
14,1400,110
15,1400,108
16,1400,108
2,1500,411
3,1500,261
4,1500,203
5,1500,173
6,1500,172
7,1500,176
8,1500,145
9,1500,144
10,1500,145
11,1500,118
12,1500,119
13,1500,158
14,1500,165
15,1500,173
16,1500,178
2,1600,526
3,1600,319
4,1600,218
5,1600,187
6,1600,222
7,1600,152
8,1600,152
9,1600,152
10,1600,152
11,1600,122
12,1600,122
13,1600,122
14,1600,122
15,1600,144
16,1600,146
2,1700,474
3,1700,291
4,1700,227
5,1700,194
6,1700,195
7,1700,162
8,1700,162
9,1700,162
10,1700,162
11,1700,130
12,1700,129
13,1700,130
14,1700,130
15,1700,130
16,1700,130
2,1800,481
3,1800,352
4,1800,240
5,1800,205
6,1800,206
7,1800,171
8,1800,171
9,1800,171
10,1800,171
11,1800,137
12,1800,137
13,1800,137
14,1800,137
15,1800,137
16,1800,137
2,1900,526
3,1900,326
4,1900,258
5,1900,217
6,1900,217
7,1900,181
8,1900,181
9,1900,181
10,1900,181
11,1900,145
12,1900,145
13,1900,144
14,1900,145
15,1900,145
16,1900,145
2,2000,535
3,2000,379
4,2000,267
5,2000,229
6,2000,229
7,2000,191
8,2000,191
9,2000,191
10,2000,192
11,2000,153
12,2000,153
13,2000,153
14,2000,153
15,2000,153
16,2000,153
2,2100,564
3,2100,360
4,2100,280
5,2100,240
6,2100,240
7,2100,200
8,2100,200
9,2100,263
10,2100,218
11,2100,160
12,2100,160
13,2100,160
14,2100,160
15,2100,160
16,2100,160
2,2200,674
3,2200,378
4,2200,293
5,2200,252
6,2200,251
7,2200,210
8,2200,209
9,2200,210
10,2200,210
11,2200,218
12,2200,258
13,2200,260
14,2200,236
15,2200,239
16,2200,249
2,2300,616
3,2300,411
4,2300,311
5,2300,304
6,2300,263
7,2300,219
8,2300,219
9,2300,219
10,2300,228
11,2300,211
12,2300,175
13,2300,175
14,2300,175
15,2300,175
16,2300,175
2,2400,649
3,2400,412
4,2400,320
5,2400,275
6,2400,279
7,2400,229
8,2400,229
9,2400,229
10,2400,229
11,2400,183
12,2400,183
13,2400,183
14,2400,183
15,2400,183
16,2400,183
2,2500,671
3,2500,469
4,2500,335
5,2500,287
6,2500,287
7,2500,239
8,2500,239
9,2500,239
10,2500,239
11,2500,192
12,2500,191
13,2500,191
14,2500,191
15,2500,191
16,2500,191
2,2600,756
3,2600,447
4,2600,347
5,2600,297
6,2600,297
7,2600,248
8,2600,248
9,2600,248
10,2600,248
11,2600,237
12,2600,198
13,2600,198
14,2600,198
15,2600,198
16,2600,198
2,2700,725
3,2700,465
4,2700,361
5,2700,355
6,2700,356
7,2700,258
8,2700,258
9,2700,258
10,2700,258
11,2700,206
12,2700,206
13,2700,206
14,2700,281
15,2700,334
16,2700,292
2,2800,750
3,2800,497
4,2800,374
5,2800,370
6,2800,321
7,2800,267
8,2800,267
9,2800,267
10,2800,293
11,2800,229
12,2800,213
13,2800,214
14,2800,213
15,2800,214
16,2800,214
2,2900,784
3,2900,500
4,2900,430
5,2900,332
6,2900,332
7,2900,276
8,2900,276
9,2900,277
10,2900,277
11,2900,221
12,2900,221
13,2900,221
14,2900,221
15,2900,221
16,2900,221
2,3000,804
3,3000,517
4,3000,402
5,3000,344
6,3000,344
7,3000,287
8,3000,287
9,3000,325
10,3000,287
11,3000,229
12,3000,229
13,3000,229
14,3000,229
15,3000,229
16,3000,229
2,3100,874
3,3100,534
4,3100,415
5,3100,356
6,3100,356
7,3100,296
8,3100,296
9,3100,296
10,3100,296
11,3100,237
12,3100,236
13,3100,237
14,3100,275
15,3100,237
16,3100,237
2,3200,938
3,3200,846
4,3200,538
5,3200,371
6,3200,367
7,3200,324
8,3200,306
9,3200,307
10,3200,344
11,3200,244
12,3200,244
13,3200,244
14,3200,245
15,3200,244
16,3200,245
2,3300,891
3,3300,568
4,3300,443
5,3300,379
6,3300,411
7,3300,315
8,3300,316
9,3300,315
10,3300,316
11,3300,252
12,3300,252
13,3300,252
14,3300,252
15,3300,253
16,3300,252
2,3400,915
3,3400,586
4,3400,455
5,3400,390
6,3400,390
7,3400,325
8,3400,325
9,3400,359
10,3400,325
11,3400,260
12,3400,260
13,3400,260
14,3400,260
15,3400,260
16,3400,260
2,3500,976
3,3500,604
4,3500,469
5,3500,402
6,3500,403
7,3500,335
8,3500,335
9,3500,335
10,3500,369
11,3500,268
12,3500,268
13,3500,268
14,3500,268
15,3500,268
16,3500,268
2,3600,1003
3,3600,621
4,3600,482
5,3600,417
6,3600,489
7,3600,345
8,3600,344
9,3600,345
10,3600,344
11,3600,288
12,3600,275
13,3600,275
14,3600,275
15,3600,385
16,3600,386
2,3700,1001
3,3700,679
4,3700,496
5,3700,425
6,3700,425
7,3700,354
8,3700,354
9,3700,354
10,3700,354
11,3700,289
12,3700,283
13,3700,283
14,3700,283
15,3700,283
16,3700,283
2,3800,1028
3,3800,656
4,3800,510
5,3800,437
6,3800,437
7,3800,364
8,3800,364
9,3800,363
10,3800,364
11,3800,294
12,3800,291
13,3800,291
14,3800,291
15,3800,291
16,3800,291
2,3900,1058
3,3900,673
4,3900,523
5,3900,449
6,3900,448
7,3900,373
8,3900,373
9,3900,373
10,3900,386
11,3900,299
12,3900,299
13,3900,299
14,3900,299
15,3900,299
16,3900,299
2,4000,1080
3,4000,914
4,4000,560
5,4000,461
6,4000,460
7,4000,383
8,4000,390
9,4000,383
10,4000,422
11,4000,306
12,4000,307
13,4000,307
