x,y
619,120546
290,43670
1146,235767
759,118737
302,28829
1255,283522
1343,300471
501,58601
1415,345212
134,33635
687,115949
572,98723
468,90275
933,217731
1050,250474
1284,416939
754,172450
463,71384
5,272
858,194179
865,195271
734,143694
602,107397
502,79873
386,51377
644,120544
1208,376801
1467,542020
1153,333110
1492,472879
1195,413948
1259,484777
173,16200
417,56230
834,247422
1368,422313
369,47114
153,13761
1408,456564
1365,475585
184,19467
264,32428
1332,439922
367,48924
464,86352
584,97080
1061,225104
552,68660
713,112439
981,191584
388,52823
381,42170
288,25761
549,87751
537,93506
862,183190
688,149963
601,123490
928,214017
1224,304638
765,183445
1215,396060
138,21593
792,210355
1382,504410
754,166322
237,26863
93,7993
934,252014
527,112316
633,109979
1180,284960
191,27908
129,11374
1266,297545
375,56297
544,118890
803,174845
1055,250194
582,121891
203,18209
487,97443
915,197371
68,5439
137,9875
760,167191
292,27244
750,129490
541,65889
1281,281736
701,103343
844,154217
415,56461
37,2047
460,57037
82,6616
809,212458
1242,320799
375,43764
1002,203701
566,91280
586,76466
1493,398281
1445,401325
697,141656
917,248845
660,128013
261,31519
721,155908
308,43825
284,29513
86,5860
1410,392352
88,7287
653,101358
190,14542
601,102064
1309,367894
87,5646
1266,342440
1300,352598
443,94685
42,3199
1425,377626
1493,402655
1386,477377
1148,262661
325,38976
254,24232
794,151031
426,54406
481,66678
560,90241
1434,386133
699,149696
339,38227
761,166185
1166,291071
423,73102
103,9723
654,127275
1427,376817
897,204318
64,4937
430,84360
1289,300721
805,173042
781,172363
266,34932
355,54845
405,67056
453,57707
567,88860
1246,284156
830,173399
1400,377215
1425,370460
1444,376397
1177,275824
794,155986
17,1074
197,19310
158,16215
882,173893
288,30375
263,29350
750,137985
547,88544
1365,359834
1423,371943
888,187581
1209,284625
702,132857
41,3208
196,17516
377,75771
223,24038
1214,279625
1166,275058
837,168155
669,118349
1345,442003
813,178753
829,190079
1457,350798
1227,268254
829,142069
227,20968
427,51007
908,171414
216,27857
1296,319517
874,213808
445,68173
330,35560
47,3526
598,126920
524,86837
173,23371
892,196649
331,48428
755,169909
755,178000
610,118764
870,160084
613,119522
187,20809
891,198272
1038,231562
985,215606
536,86597
682,120879
375,50265
1343,332996
393,46226
925,185319
285,32042
1121,266914
601,122016
1252,323741
1217,303145
404,57811
356,60328
1194,325778
923,210365
1137,281341
928,209930
686,143883
895,198502
897,199590
1077,254295
1101,269215
1143,335232
253,35597
890,184528
606,82005
737,125721
1441,337194
1146,242808
323,42083
1214,264993
918,170084
1254,327161
439,75956
477,73282
26,1848
411,59783
1493,421907
348,49753
1479,439980
1198,323066
843,183366
852,172887
1281,314487
683,121030
793,183250
476,85810
843,179323
905,208068
938,212085
1291,327159
1265,319265
1206,317144
1172,259920
1383,383813
201,18375
946,211580
642,116640
306,43230
448,75918
812,190997
127,9051
265,29286
137,12292
1266,297020
282,30350
265,29655
1081,357669
502,95438
553,98138
461,77966
822,170805
1352,353095
1468,393335
527,89449
703,136342
587,117844
355,41440
873,178317
1119,275091
1101,264493
695,103509
928,175095
920,177667
1380,325424
810,138306
360,35785
829,153821
182,24563
440,48099
89,6127
7,403
1150,243634
1053,257938
1206,309406
101,9241
163,12737
295,27111
214,20681
209,43756
866,203796
1019,251718
596,99284
888,163643
1116,239327
1139,239290
25,1261
818,140379
869,161314
281,35993
366,36365
594,85712
1334,300382
630,85638
203,18173
752,131781
990,199229
999,200701
1379,318043
1040,216558
1084,281155
339,50837
50,3631
861,146603
965,183587
562,70159
786,124100
576,73270
8,423
934,166117
752,117670
345,34561
638,89326
999,190500
1431,336069
944,174958
992,186220
950,172500
1354,312176
602,83520
1449,338938
1381,314650
202,17064
2,105
524,64131
638,86681
748,124640
173,13508
563,71432
965,174190
557,69184
576,74114
1420,332408
38,2277
855,144078
511,66810
1245,271773
1115,243424
437,85833
120,11048
604,92268
1229,281335
294,37276
1406,330633
293,37231
1000,207106
251,32024
752,124954
985,219601
1402,390434
921,228244
436,68390
973,198083
791,170441
209,19918
1394,383743
366,56251
1109,248950
804,174567
879,214246
218,19736
1290,403220
235,23330
184,23869
1317,415466
24,1623
1261,353961
178,20148
1221,319980
1121,274607
1396,436926
294,34168
1263,347355
548,108676
361,49358
2,236
192,35823
759,146453
109,9362
1469,471125
730,163404
871,197752
1412,377305
112,9721
63,3997
1395,376276
951,224120
125,11125
982,244655
661,136742
1289,328826
311,44512
345,47108
24,1462
1115,224036
373,37186
1459,345817
972,175738
725,108012
100,7080
1118,228328
396,40357
648,90071
715,110540
490,57656
711,104337
1491,366963
1350,313418
814,132833
734,111244
1222,258324
53,3312
1281,282428
1094,215011
607,81038
475,54952
311,31725
1025,197902
762,120462
190,14655
155,11180
499,58662
934,171823
908,159617
1099,217441
706,104023
1290,319473
1279,286399
1110,247836
313,45754
285,47100
192,16731
566,126584
381,71877
1289,387337
1331,358155
1119,260453
1060,241667
1088,248125
1237,296257
945,208981
388,51384
398,49604
714,121715
324,37629
1359,332711
133,9559
769,144707
942,218519
1030,243266
205,18287
914,195860
834,169905
275,29505
381,50199
1367,369210
525,81982
1023,214031
725,138234
1115,277806
102,8117
23,1378
668,122972
1455,477335
215,31072
947,265459
271,41061
691,221829
73,6426
386,53483
668,150457
1025,285994
1340,328453
349,43623
376,45298
421,52006
1042,213521
190,17573
397,43766
1466,420592
610,102464
818,144041
400,43671
380,41102
699,106255
1342,308172
1056,204279
433,50709
865,145462
690,98439
297,27331
752,118316
983,180753
778,121400
1093,215320
995,186374
1319,294885
1245,265415
901,156401
432,47417
1278,287833
1124,225963
965,172342
1027,199601
986,181438
831,140183
115,8240
631,87410
575,121924
627,122766
321,36028
902,207232
207,19050
1217,309554
459,72944
1012,213315
12,800
543,85692
844,177484
110,7919
1446,376522
1224,279883
312,33827
1131,280122
667,123937
1059,233678
652,116396
146,13810
481,72173
518,83841
875,178492
154,12437
858,178348
1211,286950
625,106989
1272,303503
740,142234
209,19484
616,105293
162,14748
387,69950
1375,328471
483,56534
863,149802
832,135651
868,146889
1470,357983
1274,279560
567,74270
29,1674
1151,232577
220,18666
397,42312
45,2766
1360,313300
807,130782
503,60886
836,245442
796,133954
816,132880
1171,241952
1068,213317
713,106443
1177,251788
1424,525376
379,63887
99,8508
1082,270193
513,67505
896,201484
412,60725
999,242079
586,114092
926,210679
79,6284
589,133172
417,71494
570,109075
523,87869
815,175318
485,76827
435,61386
157,31906
690,129014
1039,238326
456,64972
1348,330551
41,2965
1379,357888
765,148008
1,83
72,5593
1278,304216
320,36042
1167,272866
961,206084
1225,292727
767,157421
1234,273720
822,136974
330,40513
775,137819
96,16609
1482,358562
994,196016
966,191395
37,2112
884,167540
1048,230595
47,3237
1307,381319
201,20174
850,208460
1157,278783
571,92794
215,22718
136,12633
1363,348816
828,146361
840,154713
816,139428
884,166552
690,112052
300,28158
352,39228
1261,275320
1248,276234
1253,279519
1453,350595
42,2446
778,131101
1075,219478
186,25234
24,1171
1214,349976
511,70549
815,201377
900,193639
491,89885
1204,316881
1332,339146
1440,383429
442,61870
411,50574
1400,342778
1483,411462
1172,290334
1190,343567
645,127765
794,174191
584,107152
613,120028
1036,259155
1276,325905
646,136906
1156,284970
684,144019
789,168606
1498,414677
1480,399566
879,197632
830,181958
820,183087
1016,238427
421,54421
734,150631
235,21879
772,175804
1280,330287
1445,387562
1461,394194
1283,321528
938,220641
190,17431
527,107960
1032,246497
864,156583
456,62654
577,82300
320,33113
895,170639
1414,331016
449,51611
289,27484
149,13049
247,23877
195,15488
856,161721
1265,285037
594,102573
977,214552
931,215376
604,100870
757,163762
372,45038
1317,321722
943,198840
754,121917
1438,342925
1452,350056
522,63435
870,165033
698,105177
715,121125
321,42383
1213,269764
376,48692
696,106912
1185,268762
110,18088
1070,228382
553,71137
1336,338671
425,65347
567,119523
30,2115
649,166078
603,122004
1227,303320
1293,325288
184,16690
849,194746
95,8172
1296,342681
863,197730
231,21838
1096,233116
1433,379857
413,53514
68,6267
764,181135
984,228248
730,166165
1192,292411
660,140484
1144,274088
429,54643
499,84700
12,840
279,47346
